Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,1797.52548696885,1722.07284972507,1213.12436932179,1617.7441562046,1835.68407241763,1943.34335385842,2205.70392004668,2118.32777605579,2533.25282927106,2309.36650255581
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,808.608108240291,895.842391939239,899.104153278558,951.703450824644,869.700188120611,1020.07053479853,1126.95701820467,1242.0638947404,1283.61043315444,1368.62151887474
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,87.4747784163176,109.197700740616,133.239698887845,172.417592458473,189.313209352508,206.38425864202,206.685232612193,218.55392179827,278.808254957872,310.081668478241
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,2282.82256318506,2397.48653338231,2443.84413515149,2759.51327028767,2716.59821526407,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,1409.77152372425,1488.55720870583,1730.7988668593,1626.99129623342,1618.59679330269,1685.84726637846,1774.68166348922,1872.41307964772,1928.7340356416,1976.86449152748
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Australia,AUS,10657.9021169311,10571.4253428336,10972.8801492556,10749.1110606099,10791.6164803116,10726.9281831902,10627.2938650379,10407.7403070759,10220.8873013463,10071.3989785006
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Austria,AUT,7808.15779213961,7977.68159741774,8207.47473897554,8233.01483290985,7944.79609623168,8382.71115445338,8425.16775320399,8548.88219928111,8509.61158033605,8355.84195182134
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Azerbaijan,AZE,2281.94787214832,2388.38873430769,2118.21052754245,2040.76043544743,1620.3874199013,1603.43137406492,1705.4246326371,2052.65096521176,2092.53652062946,2202.39391828846
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bahrain,BHR,18900.9311885162,21024.0142983698,20501.0513852529,18562.7324169198,17542.8779273104,18442.7901074861,18889.0639786086,18942.167732434,19483.653846916,19969.7361215558
